id,start_date,lat,lon,l3,surface_total,surface_covered,price,title,property_type,operation_type
u3ErzCcBUJ6J5WUGYtWdPw==,2019-04-14,-34.5559781356,-58.4614217312,Belgrano,41.0,36.0,12000.0,Departamento - Belgrano,Departamento,Alquiler
ubg/SBbGotERBqf0XHBZGA==,2019-04-14,-34.56930161,-58.43324661,Belgrano,45.0,42.0,16000.0,Republica De Eslovenia  1700 7°  - $ 16.000 - Departamento Alquiler,Departamento,Alquiler
G91YNTGynLTvKWDoSBIdcg==,2019-04-14,-34.5555189462,-58.4619274116,Belgrano,41.0,41.0,12000.0,Departamento - Belgrano,Departamento,Alquiler
JPBIR+IWLd/HE2rdDRjiuw==,2019-04-14,-34.56753159,-58.45473099,Belgrano,82.0,72.0,25000.0,Virrey Del Pino  2600 1°  - $ 25.000 - Departamento Alquiler,Departamento,Alquiler
GeRl/WCwahDLeZGiQz+NRQ==,2019-04-14,-34.5774025,-58.4835017,Villa Urquiza,55.0,55.0,45000.0,Local Comercial Villa Urquiza,Local comercial,Alquiler
kJWFhMMkPx/OzQHp0BBy8Q==,2019-04-14,-34.6052198968,-58.4248702436,Almagro,33.0,33.0,11000.0,Departamento de 2 ambientes en Alquiler en Almagro,Departamento,Alquiler
4CbBR3KixlhudpBGp9CLww==,2019-04-14,-34.601619603,-58.4182870727,Almagro,58.0,53.0,19000.0,Departamento de 2 ambientes en Alquiler en Almagro,Departamento,Alquiler
O0srEwER4sbg/2UBF8Zq/A==,2019-04-14,-34.586946,-58.4127,Palermo,28.0,28.0,12500.0,Monoambiente excelente ubicación - Alto palermo,Departamento,Alquiler
NZa39L94w6PIzvYfOAywyw==,2019-04-14,-34.5674633,-58.449964,Belgrano,37.0,37.0,13000.0,2 AMBIENTES LATERAL LUMINOSO,Departamento,Alquiler
QkpFOJtqnza3SpTDGUh1fg==,2019-04-14,-34.563494,-58.441515,Belgrano,54.0,50.0,15000.0,"ALQUILER 2 AMBIENTES EN BELGRANO, EXC. UBICACION",Departamento,Alquiler
/1eFFIpd9AMNFqdhzCTq/g==,2019-04-14,-34.5995431,-58.4435034,Villa Crespo,43.0,40.0,13500.0,Departamento de 2 ambientes en Alquiler en Villa crespo,Departamento,Alquiler
Axa7eY32j1Z1ckQPIsJ0bQ==,2019-04-14,-34.5703398,-58.4874673,Villa Urquiza,49.0,45.0,15000.0,Departamento 2 ambientes al frente con balcón,Departamento,Alquiler
XNw8cHKdqmdqEEvVywYe5g==,2019-04-14,-34.6303762,-58.463539,Flores,56.0,52.0,14000.0,"Alquiler 3 ambientes en tercer piso, al frente con balcon, luminoso y en excelente ubicacion, mts de Subte A Plaza Flores.",Departamento,Alquiler
2zn73rOzCp5gJRAA7za7tw==,2019-04-14,-34.580746,-58.44098,Palermo,63.0,63.0,26000.0,Hermoso 3 ambientes con cochera y pileta!,Departamento,Alquiler
ZWiEFHSaU6PcxzX5IIeIYw==,2019-04-14,-34.5859198,-58.4130857,Palermo,62.0,62.0,23000.0,DEPARTAMENTO 3 AMB ESTILO FRANCES ALTO PALERMO,Departamento,Alquiler
5B6EliZZ+Zmkat+zdbxamA==,2019-04-14,-34.596265,-58.4423872,Villa Crespo,72.0,66.0,20000.0,DEPARTAMENTO EN ALQUILER,Departamento,Alquiler
g1jGpsjjZVj0vTCjaIntBA==,2019-04-14,-34.5912417048,-58.4025563567,Recoleta,85.0,76.0,28000.0,HERMOSO SEMIPISO 4 AMBIENTES CON ESPACIO GUARDACOCHE Y BAULERA APTO PROFESIONAL,Departamento,Alquiler
urHT4di7m7P23qSfZ3WDIQ==,2019-05-01,-34.5471105036,-58.46888236,Nuñez,44.0,40.0,15000.0,Oficina de dos ambientes en alquiler Nuñez,Oficina,Alquiler
Vdcj105HnZTZK9dNJ8uFJg==,2019-05-01,-34.5875320869,-58.3906688063,Recoleta,85.0,85.0,42000.0,"Av. Quintana 500, Recoleta - Cómoda oficina/consultorio - 3.5 ambientes - Mucha luz, hermosa vista a Plaza Francia",Oficina,Alquiler
