sede_id,sede_desc_castellano,sede_desc_ingles,tipo_seccion,nombre_titular,apellido_titular,cargo_titular,telefono_principal,telefonos_adicionales,celular_de_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_adicionales,sitio_web,sitios_web_adicionales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,comentario_del_horario,temas
ECHES,"Administración","Administrative  Section","Seccion","María  Verónica  ","Skerianz","Jefe  de  Sección  Administrativa",,"",,"",,"","eches@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
ERUNI,"Administración","Administration","Seccion","María  Carolina  ","Etcheverry","Agregada",,"",,"",,"","eruni@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
EHAIT,"Administración","Todo  el  territorio  de  Haiti","Seccion","Sergio  Fabián  ","Pérez  Godoy","Jefe  de  Sección  Administrativa","509  2940-67/11/12/13/14","",00  509  3676  0359,"",,"","ehait@cancilleria.gob.ar","",,"",Lunes,Viernes,,,"9.00  hs  a  17.00  hs",
EKENY,"Administración","Administrative  Section","Seccion","Ximena  Inés  ","Toledo","Jefe/a  de  Oficina",,"",,"",,"","ekeny@cancilleria.gob.ar","",,"",Lunes,Viernes,09:00:00,16:00:00,"",
ERUNI,"Administración","Administracion","Seccion","Carlos  Esteban  ","Pronato","Jefe  de  Sección","44  2073181300","",,"","","","eruni@mrecic.gov.ar","",,"",Lunes,Viernes,09:00:00,18:00:00,"",
CNYOR,"Administración","Administration  Department","Seccion","Carla  Cecilia  ","Cavallin","Jefe  de  Sección  Administrativa","1  212  603  0412","",,"","","","administracion@cnyor.com","",,"",Lunes,Viernes,09:00:00,17:00:00,"",
EECUA,"Administración  y  Logística","Administration  and  Logistics","Seccion","María  Angélica  ","Enz  Pondal","Jefe  de  Sección",,"",,"593962891390",,"","despacho-eecua@mrecic.gov.ar","",,"",,,00:00:00,00:00:00,"",
EJAPO,"Administrativa","Administration","Seccion","Federico  Sebastián  ","Yulita","Jefe  de  Sección",,"",,"",,"","admin_ejapo@mrecic.gov.ar","",,"",,,,,"",
ESALV,"Administrativa  -  Contable","Administrativa  -  Contable","Seccion","Karina  Beatriz  ","Cobos","Jefa  de  Sección","503  2521-9400","",503  7862  6494,"",,"","administracion.esalv@mrecic.gov.ar","",,"",Lunes,Viernes,08:00:00,16:00:00,"",
EGUAT,"Agregada  Administrativa","Administración","Seccion","Marcela  B.  ","Radiche  Aguirre","Jefe  de  Sección  Administrativa","(502)  2464-5900  ext  11  y  17","",,"",,"","administracion-eguat@mrecic.gov.ar","",,"",,,,,"9.00  a  16.00  hs",
EPNMA,"Agregada  Administrativa","Agregada  Administrativa","Seccion","María  Laura  ","Massuh","Jefa  de  Sección  Administrativa","507  302  0003","",507  66161112,"",,"","epnma@cancilleria.gob.ar","administracion_epnma@mrecic.gov.ar",,"",,,,,"",
ETURQ,"Agregada  para  Asuntos  Administrativos","Administrative  Affairs","Seccion","Andrea  Vivian  ","Ciampoli","Agregada","+  90  312  446  20  61","",,"","","","eturq@cancilleria.gob.ar","","http://turquia.embajada.gob.ar","",Lunes,Viernes,09:00:00,17:00:00,"",
EPORT,"Agregado  Administrativo","Chief  of  Administrative  Section","Seccion","Ariel","Bruno","Jefe  de  Sección  Administrativa","00351  21  79  59  223","",,"","","","eport@cancilleria.gob.ar","",,"",Lunes,Viernes,09:30:00,17:30:00,"Administración  Embajada.",
EISIA,"Agregado  Administrativo","Administrative  Attache","Seccion","Gustavo  Ezequiel  ","Santa  Ana","Agregado","","",,"","","","eisia@cancilleria.gob.ar","",,"",,,,,"09:00-16:00",
