sede_id,sede_desc_castellano,sede_desc_ingles,pais_castellano,pais_ingles,region_geografica,pais_iso_2,pais_iso_3,pais_codigo_telefonico,ciudad_castellano,ciudad_ingles,ciudad_zona_horaria_gmt,ciudad_codigo_telefonico,estado,titular_nombre,titular_apellido,titular_cargo,direccion,codigo_postal,telefono_principal,telefonos_adicionales,celular_guardia,celulares_adicionales,fax_principal,faxes_adicionales,correo_electronico,correos_electronicos_adicionales,sitio_web,sitios_web_adicionales,redes_sociales,atencion_dia_desde,atencion_dia_hasta,atencion_hora_desde,atencion_hora_hasta,atencion_comentario,concurrencias,circunscripcion
CALEG,"Consulado  General  en  Porto  Alegre","Consulate  General  in  PORTO  ALEGRE","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Porto  Alegre","Porto  Alegre",-3,51,Activo,"  Jorge  Enrique  ","Perren","Cónsul  General","Rua  Cel.  Bordini  1033, Bairro  Moinhos  de  Vento","90440-001","00  55  (51)  3321  1360","","00  55  (51)  99959  0061  ","","00  55  (51)  3321  1360","","caleg@cancilleria.gov.ar","","caleg.cancilleria.gob.ar","","https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //  ",,,00:00:00,00:00:00,"9  a  18  hs;  Atención  al  público  9  a  15  hs","","Aceguá;  Água  Santa;  Agudo;  Alto  Alegre;  Alto  Feliz;  Alvorada;  Amaral  Ferrador;  André  da  Rocha;  Anta  Gorda;  Antônio  Prado;  Arambaré;  Araricá;  Aratiba;  Arroio  do  Meio;  Arroio  do  Padre;  Arroio  do  Sal;  Arroio  do  Tigre;  Arroio  dos  Ratos;  Arroio  Grande;    Arvorezinha;  Áurea;  Balneário  Pinhal;  Barão;  Barão  de  Cotegipe;  Barão  do  Triunfo;  Barra  do  Ribeiro;  Barra  do  Rio  Azul;  Barracão;  Barros  Cassal;  Benjamin  Constant  do  Sul;  Bento  Gonçalves;  Boa  Vista  do  Sul;  Bom  Jesus;  Bom  Princípio;  Bom  Retiro  do  Sul;  Boqueirão  do  Leão;  Brochier;  Butiá;  Caçapava  do  Sul;  Cachoeira  do  Sul;  Cachoeirinha;  Cacique  Doble;    Camaquã;  Camargo;  Cambará  do  Sul;  Campestre  da  Serra;  Campinas  do  Sul;  Campo  Bom;  Candiota;  Canela;  Canguçu;  Canoas;  Canudos  do  Vale;  Capão  Bonito  do  Sul;  Capão  da  Canoa;  Capão  do  Leão;  Capela  de  Santana;  Capitão;  Capivari  do  Sul;  Caraá;  Carlos  Barbosa;  Carlos  Gomes;  Casca;  Caseiros;  Caxias  do  Sul;  Centenário;  Cerrito;  Cerro  Branco;  Cerro  Grande  do  Sul;  Charqueadas;  Charrua;  Chuí;  Chuvisca;  Cidreira;  Ciríaco;  Colinas;  Colorado;  Coqueiro  Baixo;  Coronel  Pilar;  Cotiporã;  Coxilha;  Cristal;  Cruzaltense;    Cruzeiro  do  Sul;  David  Canabarro;  Dois  Irmãos;  Dois  Lajeados;  Dom  Feliciano;  Dom  Pedro  de  Alcântara;  Dona  Francisca;Doutor  Ricardo;  Eldorado  do  Sul;  Encantado;  Encruzilhada  do  Sul;  Entre  Rios  do  Sul;  Erebango;  Erechim;  Ernestina;  Erval  Grande;  Esmeralda;    Estação;  Estância  Velha;  Esteio;  Estrela;  Estrela  Velha;  Fagundes  Varela;  Farroupilha;  Faxinal  do  Soturno;  Faxinalzinho;  Fazenda  Vilanova;  Feliz;  Flores  da  Cunha;  Floriano  Peixoto;  Fontoura  Xavier;  Formigueiro;  Forquetinha;  Garibaldi;  Gaurama;  General  Câmara;  Gentil;  Getúlio  Vargas;  Glorinha;  Gramado;  Gramado  Xavier;  Gravataí;  Guabiju;  Guaíba;  Guaporé;  Harmonia;  Herval;  Herveiras;  Ibarama;  Ibiaçá;  Ibiraiaras;  Ibirapuitã;  Igrejinha;  Ilópolis;  Imbé;  Imigrante;  Inhacorá;  Ipê;  Ipiranga  do  Sul;  Itaara;  Itapuca;  Itati;  Itatiba  do  Sul;  Ivorá;  Ivoti;  Jacutinga;  Jaguarão;    Jaquirana;  Lagoa  Bonita  do  Sul;  Lagoa  dos  Três  Cantos;  Lagoa  Vermelha;  Lagoão;    Lajeado;  Lavras  do  Sul;  Lindolfo  Collor;  Linha  Nova;  Machadinho;  Mampituba;  Maquiné;  Maratá;    Marau;  Marcelino  Ramos;  Mariana  Pimentel;  Mariano  Moro;  Marques  de  Souza;  Mato  Castelhano;  Mato  Leitão;  Maximiliano  de  Almeida;  Minas  do  Leão;  Montauri;  Monte  Alegre  dos  Campos;  Monte  Belo  do  Sul;  Montenegro;  Mormaço;  Morrinhos  do  Sul;  Morro  Redondo;  Morro  Reuter;  Mostardas;  Muçum;  Muitos  Capões;  Muliterno;  Não-Me-Toque;  Nicolau  Vergueiro;  Nova  Alvorada;  Nova  Araçá;  Nova  Bassano;  Nova  Bréscia;  Nova  Hartz;  Nova  Pádua;  Nova  Palma;  Nova  Petrópolis;  Nova  Prata;  Nova  Roma  do  Sul;  Nova  Santa  Rita;  Novo  Cabrais;  Novo  Hamburgo;  Osório;  Paim  Filho;  Palmares  do  Sul;  Pantano  Grande;  Paraí;  Paraíso  do  Sul;  Pareci  Novo;  Parobé;  Passa  Sete;  Passo  do  Sobrado;  Passo  Fundo;  Paulo  Bento;  Paverama;  Pedras  Altas;  Pedro  Osório;  Pelotas;  Picada  Café;  Pinhal  da  Serra;  Piratini;  Poço  das  Antas;  Pontão;  Ponte  Preta;  Portão;  Porto  Alegre  (capital  estatal);  Pouso  Novo;  Presidente  Lucena;  Protásio  Alves;  Putinga;  Quatro  Irmãos;  Relvado;  Restinga  Seca;  Rio  Grande;  Rio  Pardo;  Riozinho;  Roca  Sales;  Rolante;  Ronda  Alta;  Salvador  do  Sul;  Sananduva;  Santa  Cecília  do  Sul;  Santa  Clara  do  Sul;  Santa  Cruz  do  Sul;  Santa  Margarida  do  Sul;  Santa  Maria;  Santa  Maria  do  Herval;  Santa  Tereza;  Santa  Vitória  do  Palmar;  Santana  da  Boa  Vista;  Santo  Antônio  da  Patrulha;  Santo  Antônio  do  Palma;  Santo  Expedito  do  Sul;  São  Domingos  do  Sul;  São  Francisco  de  Paula;  São  Gabriel;  São  Jerônimo;  São  João  da  Urtiga;  São  João  do  Polêsine;  São  Jorge;  São  José  do  Herval;  São  José  do  Hortêncio;  São  José  do  Norte;  São  José  do  Ouro;  São  José  do  Sul;  São  José  dos  Ausentes;  São  Leopoldo;  São  Lourenço  do  Sul;  São  Marcos;  São  Pedro  da  Serra;  São  Sepé;  São  Valentim;  São  Valentim  do  Sul;  São  Vendelino;    Sapiranga;  Sapucaia  do  Sul;  Segredo;  Selbach;  Sentinela  do  Sul;  Serafina  Corrêa;  Sério;    Sertão;  Sertão  Santana;  Severiano  de  Almeida;  Silveira  Martins;  Sinimbu;  Sobradinho;    Soledade;  Tabaí;  Tapejara;  Tapera;  Tapes;  Taquari;  Tavares;  Terra  de  Areia;  Teutônia;  Tio  Hugo;  Torres;  Tramandaí;  Travesseiro;  Três  Arroios;  Três  Cachoeiras;  Três  Coroas;  Três  Forquilhas;  Tunas;  Tupanci  do  Sul;  Turuçu;  União  da  Serra;  Vacaria;  Vale  do  Sol;  Vale  Real;  Vale  Verde;  Vanini;  Venâncio  Aires;  Vera  Cruz;  Veranópolis;  Vespasiano  Correa;  Viadutos;    Viamão;  Victor  Graeff;  Vila  Flores;  Vila  Lângaro;  Vila  Maria;  Vila  Nova  do  Sul;  Vista  Alegre  do  Prata;  Westfália;  Xangri-lá." 
CANTO,"Consulado  en  Antofagasta","Consulate  in  ANTOFAGASTA","REPÚBLICA  DE  CHILE","REPUBLIC  OF  CHILE","AMÉRICA  DEL  SUR",CL,CHL,"56","Antofagasta","Antofagasta",-3,55,Activo,"Ana  Carolina  ","Massuh","Cónsul","Blanco  Encalada  N°  1933, Antofagasta","1271848","+56  55  2  220440","+56  55  2  220441","+56  9  9895  0129","",,"","canto@mrecic.gov.ar  ","","https://canto.cancilleria.gob.ar/","","https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  ",Lunes,Viernes,09:30:00,14:00:00,"Horario  administrativo:  09:00  a  17:30  h","","Región  de  Arica  y  Parinacota  -  Capital  Arica;  Región  de  Tarapacá  -  Capital  Iquique  ;  Región  de  Antofagasta  -  Capital  Antofagasta  ;  Región  de  Atacama  -  Capital  Copiapó" 
CAREN,"Consulado  General  en  Punta  Arenas","Consulate  General  in  Punta  Arenas","REPÚBLICA  DE  CHILE","REPUBLIC  OF  CHILE","AMÉRICA  DEL  SUR",CL,CHL,"56","Punta  Arenas","Punta  Arenas",-1,61,Activo,"Germán  Gustavo  ","Domínguez","Cónsul  General","Capitán  Ramón  Serrano  684","6200000","+56  61  2261532","+56  61  2261912","+56  9  96405290","","+56  61  2261264","","caren@mrecic.gov.ar","","https://caren.cancilleria.gob.ar/","","https://www.facebook.com/profile.php?id=100014152878593  //  ",,,,,"09:00  a  14:00  (Atención  al  Público)  a  17:00  (Adm)","","Región  XII  Magallanes  y  Antártica  Chilena  (Provincias  Última  Esperanza, Tierra  del  Fuego, Magallanes  y  Antártica  Chilena)." 
CASUN,"Consulado  General  en  Asunción","Consulate  General  in  Asuncion","REPÚBLICA  DEL  PARAGUAY","REPUBLIC  OF  PARAGUAY","AMÉRICA  DEL  SUR",PY,PRY,"595","Asunción","Asuncion",-4,21,Activo,"José  Carlos  ","Ramos","Cónsul  General","Aviadores  del  Chaco  2351  4°  piso","1749","00  595  (21)  608-912","00  595  971  203686","00  595  (972)908913","","Int.  102","","casun@mrecic.gov.ar","","www.casun.mrecic.gov.ar","","@ArgentinaEnAsuncion  //  ",Lunes,Viernes,08:00:00,13:00:00,"Horario  de  funcionarios  hasta  15:00  hs.","","Departamentos  de  Boquerón, Alto  Paraguay, Presidente  Hayes, Concepción, San  Pedro, Cordillera, Caaguazú, Guaira, Paraguarí, Caazapa  y  Central." 
CATLA,"Consulado  General  en  Atlanta","Consulate  General  in  Atlanta","Estados  Unidos  de  América","UNITED  STATES  OF  AMERICA","AMÉRICA  DEL  NORTE",US,USA,"1","Atlanta","Atlanta",-4,404,Activo,"Juan  Manuel  ","Navarro","Cónsul  General","53  Perimeter  Center  East    Suite  #500  (Piso  5)      Atlanta, GA  30346","30346","00  1  404  880  0805","00  1  404  880  0805","0014043125246","","00  1  404  880  0806","","catla@mrecic.gov.ar","","www.catla.mrecic.gov.ar","","",,,,,"de  9:00  a  14:00  hs  (Público)  -  Oficina  8:30-17","","Estados  de  Alabama, Carolina  del  Sur, Georgia, Kentucky, Mississippi  y  Tennessee" 
CBARC,"Consulado  General  y  Centro  de  Promoción  en  Barcelona","Consulate  General  and  Promotion  Center  in  Barcelona","REINO  DE  ESPAÑA","KINGDOM  OF  SPAIN","EUROPA  OCCIDENTAL",ES,ESP,"34","Barcelona","Barcelona",2,93,Activo,"Rossana  Cecilia  ","Surballe","Consulesa  General","Paseo  de  Gracia  11, Escalera  B  (Ingreso  por  Av.  Gran  Vía  de  les  Corts  Catalanes  632), 2º  piso","08007","0034  (93)  304  1200","0034  (93)  304  1203","0034  696  454  723","","0034  (93)  304  1201","","cbarc@cancilleria.gob.ar","","https://cbarc.cancilleria.gob.ar/","","facebook.com/ArgEnBarcelona  //  twitter.com/ARGenBarcelona  //  instagram.com/argenbarcelona  //  Consulado  Argentino  en  Barcelona  //  linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/  //  ",Lunes,Viernes,08:30:00,14:00:00,"","","Aragón  (Huesca, Zaragoza  y  Teruel), Cataluña  (Barcelona, Tarragona, Lleida  y  Girona), Comunidad  Valenciana  (Castellón, Valencia  y  Alicante)  y  Principado  de  Andorra.  IMPORTANTE:  Las  Islas  Baleares  son  parte  de  la  circunscripcion  consular  del  Consulado  Argentino  en  Mallorca  -  Tel.:  0034  97  172  1955." 
CBEIJ,"Sección  Consular  en  Beijing","Consular  Section  in  Beijing","REPÚBLICA  POPULAR  DE  CHINA","PEOPLE’S  REPUBLIC  OF  CHINA","ASIA",CN,CHN,"86","Beijing","Beijing",8,10,Activo,"Marcela  Viviana  ","Barone","Jefe  de  Sección  Consular","11-12  Unit  1  Building  3, Tayuan  DRC, Nro  1  Xindong  Road, Chaoyang  District","100600","(86-10)  8532  3921","","(86-134)  3995  0030","","(86-10)  85323921  Interno  28","","cbeij@mrecic.gov.ar    ","tramites.argentinos.beijing@mrecic.gov.ar","www.echin.cancilleria.gov.ar","","",Lunes,Viernes,09:00:00,16:00:00,"09:00  a  16:00  horas","","Provincias  de  Beijing, Hebei, Jilin, Jiangxi, Hubei, Guizhou, Shaanxi, Ningxia, Tianjin, Shanxi, Heilongjiang, Shandong, Hunan, Yunnan, Gansu, Xinjiang, Chongqing, Liaoning, Henan, Sichuan, Tibet, Qinghai  y  Mongolia  Interior" 
CBELO,"Consulado  en  Belo  Horizonte","Consulate  in  Belo  Horizonte","REPÚBLICA  FEDERATIVA  DEL  BRASIL","FEDERATIVE  REPUBLIC  OF  BRAZIL","AMÉRICA  DEL  SUR",BR,BRA,"55","Belo  Horizonte","Belo  Horizonte",-3,31,Activo,"Santiago  A.  ","Muñoz  Martínez","Cónsul  General","Rua  Ceará  1566,   6to.  Andar, Funcionarios","30150-311","30475490  /  91  /  92","","0055(31)  992340598","",,"","cbelo@mrecic.gov.ar","",,"","https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //  ",Lunes,Viernes,09:00:00,13:00:00,"09:00  a  13:00","","Estado  de  Minas  Gerais" 
CBONN,"Consulado  en  Bonn","Consulate  in  Bonn","REPÚBLICA  FEDERAL  DE  ALEMANIA","FEDERAL  REPUBLIC  OF  GERMANY","EUROPA  OCCIDENTAL",DE,DEU,"49","Bonn","Bonn",5,228,Activo,"Eduardo  Nazareno  ","Muñoz","Cónsul","Robert-Koch-Strasse  104","53127","+49  (0)  228  24  96288","","+49  (0)1783287276","","+49  (0)  228  24  96287","","cbonn@mrecic.gov.ar","","cbonn.mrecic.gov.ar","","https://www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/consulado.argentino.bonn  //  ",,,,,"09:00  hs.  a  17:00  hs.  ","","Estados  Federados  de  Renania  del  Norte-Westfalia, Renania  Palatinado  y  Sarre" 
CCADI,"Consulado  en  Cádiz","Consulate  in  Cadiz","REINO  DE  ESPAÑA","KINGDOM  OF  SPAIN","EUROPA  OCCIDENTAL",ES,ESP,"34","Cádiz","Cadiz",2,956,Activo,"Mariano","Zarazaga","Cónsul","calle  Presidente  Rivadavia  N°  3","11001","00  34  956  22  89  22","","00  34  618645052","","00  34  956  80  92  03","","ccadi@mrecic.gov.ar","","https://ccadi.cancilleria.gob.ar/","","www.facebook.com/ArgentinaEnCadiz  //  ",,,00:00:00,00:00:00,"Lunes  a  Viernes  de  09.00  a  14.00  horas","","Región  de  Andalucía  (Provincias  de  Cádiz, Almería, Córdoba, Granada, Huelva, Jaén, Málaga, Sevilla  y  las  ciudades  autónomas  de  Ceuta  y  Melilla, Islas  Chafarinas, Peñones  de  Alhucemas  y  Vélez  de  la  Gomera)." 
