ISO3,nombre,region_geografica
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR
CHL,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR
PRY,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR
USA,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE
ESP,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL
CHN,REPÚBLICA  POPULAR  DE  CHINA,ASIA
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR
TUR,República  de  Türkiye,EUROPA  OCCIDENTAL
IND,REPÚBLICA  DE  LA  INDIA,ASIA
ISR,ESTADO  DE  ISRAEL,ASIA
ECU,REPÚBLICA  DEL  ECUADOR,AMÉRICA  DEL  SUR
CAN,CANADÁ,AMÉRICA  DEL  NORTE
ZAF,REPÚBLICA  DE  SUDÁFRICA,ÁFRICA  SUBSAHARIANA
PER,REPÚBLICA  DEL  PERÚ,AMÉRICA  DEL  SUR
GRB,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,EUROPA  OCCIDENTAL
MEX,ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE
ITA,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL
AUS,AUSTRALIA,OCEANÍA
ARG,REPÚBLICA  ARGENTINA,AMÉRICA  DEL  SUR
AGO,REPÚBLICA  DE  ANGOLA,ÁFRICA  SUBSAHARIANA
SAU,REINO  DE  ARABIA  SAUDITA,ASIA
DZA,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ARM,REPÚBLICA  DE  ARMENIA,ASIA
SYR,REPÚBLICA  ÁRABE  SIRIA,ASIA
AZE,REPÚBLICA  DE  AZERBAIYÁN,ASIA
BGD,REPÚBLICA  POPULAR  DE  BANGLADESH,ASIA
BRB,BARBADOS,AMÉRICA  CENTRAL  Y  CARIBE
BEL,Reino  de  Bélgica,EUROPA  OCCIDENTAL
BGR,REPÚBLICA  DE  BULGARIA,EUROPA  CENTRAL  Y  ORIENTAL
CZE,REPÚBLICA  CHECA,EUROPA  CENTRAL  Y  ORIENTAL
COL,REPÚBLICA  DE  COLOMBIA,AMÉRICA  DEL  SUR
KOR,REPÚBLICA  DE  COREA,ASIA
CUB,REPÚBLICA  DE  CUBA,AMÉRICA  CENTRAL  Y  CARIBE
DNK,REINO  DE  DINAMARCA,EUROPA  OCCIDENTAL
DOM,REPÚBLICA  DOMINICANA,AMÉRICA  CENTRAL  Y  CARIBE
ARE,EMIRATOS  ÁRABES  UNIDOS,ASIA
EGY,REPÚBLICA  ÁRABE  DE  EGIPTO,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ETH,REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,ÁFRICA  SUBSAHARIANA
PHL,REPÚBLICA  DE  FILIPINAS,ASIA
FIN,REPÚBLICA  DE  FINLANDIA,EUROPA  OCCIDENTAL
FRA,REPÚBLICA  FRANCESA,EUROPA  OCCIDENTAL
RUS,FEDERACIÓN  DE  RUSIA,EUROPA  CENTRAL  Y  ORIENTAL
GRC,REPÚBLICA  HELÉNICA,EUROPA  OCCIDENTAL
GTM,REPÚBLICA  DE  GUATEMALA,AMÉRICA  CENTRAL  Y  CARIBE
GUY,REPÚBLICA  COOPERATIVA  DE  GUYANA,AMÉRICA  CENTRAL  Y  CARIBE
HTI,REPÚBLICA  DE  HAITÍ,AMÉRICA  CENTRAL  Y  CARIBE
HND,REPÚBLICA  DE  HONDURAS,AMÉRICA  CENTRAL  Y  CARIBE
IRN,REPÚBLICA  ISLÁMICA  DE  IRÁN,ASIA
IRL,IRLANDA,EUROPA  OCCIDENTAL
IDN,REPÚBLICA  DE  INDONESIA,ASIA
JAM,JAMAICA,AMÉRICA  CENTRAL  Y  CARIBE
JPN,日本国  (JAPÓN),ASIA
KEN,REPÚBLICA  DE  KENYA,ÁFRICA  SUBSAHARIANA
KWT,ESTADO  DE  KUWAIT,ASIA
LBY,ESTADO  DE  LIBIA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
LBN,REPÚBLICA  LIBANESA,ASIA
LCA,SANTA  LUCÍA,AMÉRICA  CENTRAL  Y  CARIBE
MAR,REINO  DE  MARRUECOS,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
MOZ,REPÚBLICA  DE  MOZAMBIQUE,ÁFRICA  SUBSAHARIANA
MYS,MALASIA,ASIA
NIC,REPÚBLICA  DE  NICARAGUA,AMÉRICA  CENTRAL  Y  CARIBE
NGA,REPÚBLICA  FEDERAL  DE  NIGERIA,ÁFRICA  SUBSAHARIANA
NOR,REINO  DE  NORUEGA,EUROPA  OCCIDENTAL
NZL,NUEVA  ZELANDIA,OCEANÍA
CHE,Confederación  Suiza,EUROPA  OCCIDENTAL
PAK,REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,ASIA
NLD,REINO  DE  LOS  PAÍSES  BAJOS,EUROPA  OCCIDENTAL
PAN,REPÚBLICA  DE  PANAMÁ,AMÉRICA  CENTRAL  Y  CARIBE
POL,REPÚBLICA  DE  POLONIA,EUROPA  CENTRAL  Y  ORIENTAL
PRT,REPÚBLICA  PORTUGUESA,EUROPA  OCCIDENTAL
QAT,ESTADO  DE  QATAR,ASIA
CRI,REPÚBLICA  DE  COSTA  RICA,AMÉRICA  CENTRAL  Y  CARIBE
ROU,RUMANIA,EUROPA  CENTRAL  Y  ORIENTAL
SLV,REPÚBLICA  DE  EL  SALVADOR,AMÉRICA  CENTRAL  Y  CARIBE
SEN,REPÚBLICA  DE  SENEGAL,ÁFRICA  SUBSAHARIANA
SRB,REPÚBLICA  DE  SERBIA,EUROPA  CENTRAL  Y  ORIENTAL
SGP,REPÚBLICA  DE  SINGAPUR,ASIA
VAT,SANTA  SEDE,EUROPA  OCCIDENTAL
SWE,REINO  DE  SUECIA,EUROPA  OCCIDENTAL
SUR,REPÚBLICA  DE  SURINAME,AMÉRICA  DEL  SUR
THA,REINO  DE  TAILANDIA,ASIA
AUT,REPÚBLICA  DE  AUSTRIA,EUROPA  OCCIDENTAL
TTO,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,AMÉRICA  CENTRAL  Y  CARIBE
TUN,REPÚBLICA  TUNECINA,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
UKR,UCRANIA,EUROPA  CENTRAL  Y  ORIENTAL
HUN,HUNGRÍA,EUROPA  CENTRAL  Y  ORIENTAL
VEN,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,AMÉRICA  DEL  SUR
VNM,REPÚBLICA  SOCIALISTA  DE  VIETNAM,ASIA
PSE,ESTADO  DE  PALESTINA,ASIA
