ISO3_origen,ISO3_destino,anio,cantidad
AFG,AFG,1960,0
AFG,ALB,1960,0
AFG,DZA,1960,41
AFG,ASM,1960,0
AFG,AND,1960,0
AFG,AGO,1960,0
AFG,AIA,1960,0
AFG,ATG,1960,0
AFG,ARG,1960,6
AFG,ARM,1960,0
AFG,ABW,1960,0
AFG,AUS,1960,42
AFG,AUT,1960,47
AFG,AZE,1960,0
AFG,BHS,1960,0
AFG,BHR,1960,62
AFG,BGD,1960,151
AFG,BRB,1960,0
AFG,BLR,1960,0
AFG,BEL,1960,16
AFG,BLZ,1960,0
AFG,BEN,1960,0
AFG,BMU,1960,0
AFG,BTN,1960,0
AFG,BOL,1960,0
AFG,BIH,1960,0
AFG,BWA,1960,0
AFG,BRA,1960,8
AFG,BRN,1960,0
AFG,BGR,1960,168
AFG,BFA,1960,0
AFG,BDI,1960,1
AFG,KHM,1960,5
AFG,CMR,1960,0
AFG,CAN,1960,228
AFG,CPV,1960,0
AFG,CYM,1960,0
AFG,CAF,1960,0
AFG,TCD,1960,0
AFG,CHI,1960,0
AFG,CHL,1960,0
AFG,CHN,1960,24
AFG,COL,1960,0
AFG,COM,1960,0
AFG,COD,1960,26
AFG,COG,1960,0
AFG,COK,1960,0
AFG,CRI,1960,0
AFG,CIV,1960,0
AFG,HRV,1960,0
AFG,CUB,1960,0
AFG,CYP,1960,3
AFG,CZE,1960,2
AFG,DNK,1960,13
AFG,DJI,1960,0
AFG,DMA,1960,0
AFG,DOM,1960,0
AFG,ECU,1960,0
AFG,EGY,1960,1450
AFG,SLV,1960,7
AFG,GNQ,1960,0
AFG,ERI,1960,0
AFG,EST,1960,0
AFG,ETH,1960,0
AFG,FRO,1960,7
AFG,FLK,1960,0
AFG,FJI,1960,9
AFG,FIN,1960,0
AFG,FRA,1960,1767
AFG,GUF,1960,0
AFG,PYF,1960,0
AFG,GAB,1960,0
AFG,GMB,1960,0
AFG,GEO,1960,0
AFG,DEU,1960,199
AFG,GHA,1960,0
AFG,GIB,1960,0
AFG,GRC,1960,9
AFG,GRL,1960,0
AFG,GRD,1960,0
AFG,GLP,1960,0
AFG,GUM,1960,2
AFG,GTM,1960,0
AFG,GIN,1960,0
AFG,GNB,1960,0
AFG,GUY,1960,0
AFG,HTI,1960,0
AFG,HND,1960,1
AFG,HKG,1960,67
AFG,HUN,1960,99
AFG,ISL,1960,0
AFG,IND,1960,3827
AFG,IDN,1960,24
AFG,IRN,1960,42222
AFG,IRQ,1960,327
AFG,IRL,1960,6
AFG,IMN,1960,0
AFG,ISR,1960,16
AFG,ITA,1960,180
AFG,JAM,1960,0
AFG,JPN,1960,0
AFG,JOR,1960,21
AFG,KAZ,1960,0
AFG,KEN,1960,6
AFG,KIR,1960,0
AFG,PRK,1960,0
AFG,KOR,1960,0
AFG,XKX,1960,0
AFG,KWT,1960,760
AFG,KGZ,1960,0
AFG,LAO,1960,0
AFG,LVA,1960,0
AFG,LBN,1960,28
AFG,LSO,1960,0
AFG,LBR,1960,0
AFG,LBY,1960,36
AFG,LIE,1960,0
AFG,LTU,1960,0
AFG,LUX,1960,0
AFG,MAC,1960,3
AFG,MKD,1960,0
