sede_id,pais_iso_3_x,pais_iso_3_y,cantidad_secciones
CALEG,BRA,BRA,0
CANTO,CHL,CHL,0
CAREN,CHL,CHL,0
CASUN,PRY,PRY,0
CATLA,USA,USA,0
CBARC,ESP,,6
CBEIJ,CHN,CHN,0
CBELO,BRA,BRA,0
CBONN,DEU,DEU,0
CCADI,ESP,ESP,0
CCEST,PRY,PRY,0
CCHIC,USA,,2
CCOCH,BOL,BOL,0
CCOLO,URY,URY,0
CCONC,CHL,CHL,0
CCURI,BRA,BRA,0
CENCA,PRY,PRY,0
CFBEN,URY,URY,0
CFDIG,BRA,BRA,0
CFLOR,BRA,BRA,0
CFRAN,DEU,,4
CGEST,TUR,TUR,0
CGMUM,IND,,3
CGPAZ,BOL,BOL,0
CGTEL,ISR,,2
CGUAN,CHN,CHN,0
CGUAY,ECU,,2
CGVAN,CAN,CAN,0
CHAMB,DEU,DEU,0
CHONG,CHN,,2
CHOUS,USA,USA,0
CJOHA,ZAF,ZAF,0
CLANG,USA,USA,0
CLIMA,PER,PER,0
CLOND,GRB,GRB,0
CMADR,ESP,ESP,0
CMALD,URY,URY,0
CMALL,ESP,ESP,0
CMDEO,URY,URY,0
CMEXI,MEX,MEX,0
CMIAM,USA,,8
CMILA,ITA,,3
CMREA,CAN,CAN,0
CNYOR,USA,,9
CPABL,BRA,,1
CPAYS,URY,URY,0
CPCAR,MEX,,1
CPMON,CHL,CHL,0
CRECI,BRA,,5
CRIOJ,BRA,,4
CROMA,ITA,ITA,0
CSBAH,BRA,BRA,0
CSCRS,BOL,,4
CSHAN,CHN,,7
CSIDN,AUS,,3
CSIGO,CHL,CHL,0
CSLTO,URY,URY,0
CTARI,BOL,BOL,0
CTENE,ESP,ESP,0
CTORO,CAN,,3
CURUG,BRA,,1
CVALP,CHL,CHL,0
CVIGO,ESP,,3
CVILL,BOL,BOL,0
CYACU,BOL,BOL,0
DIGAC,ARG,ARG,0
EALEM,DEU,,10
EANGO,AGO,,6
EARAB,SAU,SAU,0
EARGE,DZA,,6
EARME,ARM,,3
EASIR,SYR,,1
EAUST,AUS,,5
EAZER,AZE,,5
EBANG,BGD,BGD,0
EBARB,BRB,,7
EBELG,BEL,,5
EBOLV,BOL,,12
EBRAS,BRA,,7
EBULG,BGR,BGR,0
ECANA,CAN,,4
ECEUR,BEL,,6
ECHES,CZE,,5
ECHIN,CHN,,8
ECOLO,COL,,7
ECORE,KOR,,5
ECUBA,CUB,,5
EDINA,DNK,,4
EDOMI,DOM,,3
EEARB,ARE,,3
EECUA,ECU,,8
EEEUU,USA,,11
EEGIP,EGY,,6
EEOEA,USA,USA,0
EESPA,ESP,,7
EETIO,ETH,,4
EFILI,PHL,,4
EFINL,FIN,,2
EFRAN,FRA,,9
EFRUS,RUS,,13
EGREC,GRC,,4
EGUAT,GTM,,3
EGUYA,GUY,GUY,0
EHAIT,HTI,,7
EHILE,CHL,,14
EHOND,HND,,4
EINDI,IND,,4
EIRAN,IRN,,1
EIRLA,IRL,,4
EISIA,IDN,,5
EISRA,ISR,,3
EITAL,ITA,,10
EJAMA,JAM,,3
EJAPO,JPN,,6
EKENY,KEN,,6
EKUWA,KWT,,5
ELBIA,LBY,,2
ELBNO,LBN,,5
ELUCI,LCA,LCA,0
EMARR,MAR,,5
EMEXI,MEX,,9
EMFAO,ITA,ITA,0
EMOZA,MOZ,,8
EMSIA,MYS,,3
EMSUR,URY,URY,0
ENAUN,USA,USA,0
ENICA,NIC,,1
ENIGE,NGA,,6
ENORU,NOR,,3
ENZEL,NZL,,3
EOIRS,CHE,CHE,0
EPAKI,PAK,,2
EPARA,PRY,PRY,0
EPBAJ,NLD,,4
EPERU,PER,,7
EPNMA,PAN,,4
EPOLO,POL,,3
EPORT,PRT,,5
EQATR,QAT,,5
ERICA,CRI,,2
ERUMA,ROU,,2
ERUNI,GRB,,12
ESAFR,ZAF,,4
ESALV,SLV,,5
ESENE,SEN,SEN,0
ESERB,SRB,,4
ESING,SGP,,4
ESSED,VAT,,6
ESUEC,SWE,,4
ESUIZ,CHE,,5
ESURI,SUR,,6
ETAIL,THA,,6
ETRIA,AUT,,11
ETRIN,TTO,,1
ETUNE,TUN,,7
ETURQ,TUR,,4
EUCRA,UKR,,4
EUNES,FRA,FRA,0
EUNGR,HUN,,5
EURUG,URY,,4
EVENE,VEN,,5
EVIET,VNM,,4
OCCAT,CHN,CHN,0
REPAL,PSE,PSE,0
